row_id,qa_id,fold
0,0,1
1,1,1
2,2,4
3,3,3
4,5,1
5,6,3
6,7,4
7,9,1
8,11,2
9,12,4
10,14,2
11,15,3
12,16,0
13,17,1
14,18,1
15,19,0
16,22,1
17,23,2
18,24,3
19,25,0
20,27,2
21,29,2
22,30,1
23,31,1
24,32,4
25,33,0
26,36,1
27,38,2
28,40,0
29,41,0
30,47,1
31,48,2
32,50,2
33,51,4
34,52,4
35,54,1
36,55,2
37,56,0
38,58,4
39,59,0
40,60,3
41,61,3
42,63,4
43,64,2
44,65,3
45,68,1
46,71,3
47,72,0
48,74,3
49,75,2
50,77,0
51,78,1
52,79,4
53,80,4
54,81,4
55,82,0
56,83,3
57,87,0
58,88,0
59,91,3
60,92,1
61,95,4
62,96,2
63,97,1
64,98,3
65,99,1
66,104,2
67,105,4
68,108,3
69,109,3
70,110,1
71,111,4
72,112,0
73,115,1
74,117,4
75,118,0
76,119,4
77,121,2
78,127,3
79,128,2
80,129,3
81,131,2
82,135,2
83,138,4
84,139,3
85,141,1
86,143,4
87,144,2
88,145,0
89,148,0
90,149,0
91,151,0
92,152,1
93,154,1
94,155,0
95,156,2
96,157,2
97,158,0
98,160,3
99,162,0
100,163,0
101,164,2
102,168,2
103,169,1
104,170,4
105,171,3
106,174,1
107,175,0
108,176,3
109,177,4
110,178,1
111,180,4
112,181,4
113,182,4
114,183,0
115,184,1
116,185,1
117,186,0
118,187,1
119,188,3
120,191,4
121,192,1
122,193,2
123,194,4
124,196,3
125,198,2
126,201,3
127,202,3
128,203,4
129,204,0
130,207,4
131,210,1
132,211,2
133,213,2
134,214,2
135,215,3
136,216,4
137,217,1
138,219,3
139,222,1
140,223,2
141,224,3
142,226,3
143,227,2
144,229,0
145,230,0
146,231,1
147,233,4
148,234,0
149,236,4
150,238,3
151,239,1
152,240,3
153,241,3
154,242,1
155,243,1
156,247,2
157,248,1
158,249,0
159,250,4
160,253,2
161,254,4
162,256,0
163,259,3
164,261,1
165,262,2
166,263,1
167,264,1
168,265,4
169,266,1
170,268,3
171,269,0
172,270,4
173,271,0
174,272,2
175,273,2
176,274,4
177,276,0
178,277,1
179,279,4
180,280,3
181,283,1
182,285,3
183,286,1
184,287,0
185,288,2
186,294,0
187,298,0
188,302,4
189,303,3
190,304,1
191,305,0
192,306,0
193,308,3
194,309,1
195,311,3
196,313,1
197,317,0
198,319,1
199,320,4
200,321,2
201,324,1
202,325,4
203,326,1
204,328,2
205,329,2
206,330,0
207,331,0
208,332,2
209,333,1
210,335,0
211,337,4
212,339,2
213,341,4
214,345,0
215,346,4
216,347,0
217,348,2
218,350,4
219,351,4
220,352,3
221,353,3
222,354,0
223,355,1
224,358,2
225,359,4
226,363,4
227,364,0
228,365,3
229,366,3
230,367,2
231,368,1
232,369,4
233,370,3
234,372,0
235,377,3
236,378,0
237,380,0
238,383,0
239,384,4
240,385,1
241,386,3
242,388,0
243,389,0
244,392,4
245,393,2
246,396,3
247,398,2
248,400,2
249,402,3
250,404,0
251,405,3
252,406,1
253,409,2
254,410,2
255,412,4
256,413,1
257,415,1
258,419,2
259,420,0
260,422,2
261,424,1
262,425,1
263,426,4
264,428,4
265,430,2
266,431,4
267,433,3
268,434,3
269,435,3
270,436,3
271,437,1
272,438,2
273,439,2
274,440,3
275,441,0
276,442,1
277,446,1
278,447,0
279,450,4
280,452,0
281,453,0
282,454,4
283,456,3
284,459,4
285,460,4
286,462,3
287,463,2
288,464,2
289,466,4
290,467,3
291,468,2
292,469,1
293,471,0
294,473,3
295,475,3
296,477,4
297,478,2
298,480,1
299,481,4
300,485,3
301,486,2
302,488,4
303,489,2
304,492,0
305,493,4
306,494,0
307,496,4
308,497,3
309,498,0
310,499,4
311,500,2
312,501,3
313,502,3
314,503,1
315,507,4
316,508,4
317,509,1
318,510,1
319,512,2
320,514,2
321,515,4
322,516,4
323,517,3
324,519,3
325,521,4
326,523,2
327,525,0
328,527,3
329,528,1
330,530,4
331,531,1
332,532,4
333,533,0
334,534,2
335,535,4
336,536,3
337,537,1
338,540,2
339,541,3
340,543,4
341,544,3
342,547,1
343,548,1
344,549,3
345,550,4
346,552,3
347,553,2
348,554,2
349,555,4
350,556,4
351,557,4
352,559,3
353,560,2
354,561,3
355,564,3
356,565,2
357,566,3
358,567,3
359,568,4
360,570,2
361,571,2
362,572,0
363,573,2
364,574,0
365,575,2
366,577,4
367,580,4
368,581,3
369,582,4
370,583,3
371,586,1
372,587,1
373,590,0
374,591,4
375,592,3
376,593,1
377,594,0
378,596,2
379,597,2
380,598,0
381,601,3
382,602,3
383,603,3
384,605,3
385,607,2
386,608,3
387,609,2
388,610,0
389,611,4
390,612,0
391,613,0
392,616,2
393,617,2
394,618,2
395,619,1
396,620,1
397,621,2
398,622,1
399,623,0
400,624,4
401,626,1
402,627,0
403,628,3
404,630,2
405,631,3
406,632,3
407,633,3
408,634,4
409,635,3
410,636,2
411,638,1
412,639,3
413,643,0
414,644,2
415,645,3
416,646,1
417,648,4
418,649,1
419,651,2
420,652,1
421,653,2
422,655,2
423,656,3
424,658,3
425,659,4
426,661,4
427,662,1
428,663,3
429,664,2
430,667,4
431,670,0
432,672,0
433,673,0
434,674,3
435,675,4
436,676,1
437,677,1
438,678,2
439,679,1
440,684,0
441,687,0
442,688,0
443,690,0
444,693,4
445,694,1
446,696,4
447,697,0
448,698,1
449,701,0
450,702,3
451,704,2
452,705,0
453,706,1
454,708,3
455,709,3
456,710,1
457,712,1
458,713,1
459,714,1
460,716,3
461,717,3
462,718,4
463,719,0
464,720,0
465,721,1
466,723,2
467,724,4
468,730,0
469,731,1
470,732,3
471,734,0
472,736,4
473,737,2
474,738,1
475,739,1
476,741,3
477,742,4
478,744,1
479,745,4
480,747,0
481,749,3
482,750,1
483,753,0
484,754,1
485,755,3
486,758,0
487,759,3
488,762,0
489,763,3
490,764,2
491,766,2
492,767,3
493,768,2
494,772,0
495,774,1
496,775,4
497,776,3
498,778,2
499,779,0
500,780,3
501,781,4
502,782,1
503,784,2
504,785,4
505,788,2
506,789,1
507,790,0
508,791,1
509,795,4
510,796,4
511,803,1
512,805,0
513,807,1
514,809,2
515,810,4
516,814,2
517,815,4
518,816,2
519,817,4
520,819,1
521,820,4
522,823,4
523,824,2
524,825,0
525,827,4
526,829,1
527,831,2
528,832,4
529,833,2
530,834,3
531,835,0
532,836,3
533,838,0
534,839,0
535,840,2
536,841,4
537,843,3
538,847,3
539,848,1
540,850,1
541,852,2
542,854,2
543,855,2
544,857,4
545,858,0
546,859,1
547,860,1
548,863,3
549,864,2
550,865,2
551,866,4
552,867,1
553,869,0
554,873,2
555,874,2
556,875,1
557,878,1
558,879,3
559,880,2
560,881,0
561,882,0
562,883,3
563,886,3
564,887,0
565,888,1
566,889,0
567,891,0
568,892,0
569,893,3
570,894,3
571,895,4
572,896,2
573,897,3
574,898,4
575,899,2
576,900,3
577,902,2
578,903,0
579,906,2
580,907,1
581,908,3
582,909,3
583,910,3
584,911,1
585,912,1
586,913,0
587,914,1
588,915,2
589,916,1
590,918,3
591,919,0
592,925,2
593,926,3
594,927,4
595,930,2
596,933,1
597,935,1
598,937,2
599,940,3
600,941,1
601,942,0
602,943,1
603,944,4
604,946,0
605,947,3
606,948,3
607,950,4
608,951,1
609,953,4
610,954,2
611,956,2
612,958,0
613,959,0
614,961,3
615,964,2
616,966,3
617,967,2
618,970,4
619,974,4
620,975,3
621,977,1
622,980,1
623,982,1
624,983,3
625,984,1
626,985,2
627,990,0
628,991,3
629,992,1
630,994,3
631,995,1
632,997,2
633,999,4
634,1000,3
635,1001,2
636,1004,3
637,1006,2
638,1009,4
639,1010,4
640,1011,4
641,1013,3
642,1015,4
643,1017,2
644,1018,2
645,1024,0
646,1025,4
647,1026,3
648,1029,3
649,1030,3
650,1031,1
651,1034,3
652,1035,4
653,1036,0
654,1040,4
655,1042,4
656,1043,3
657,1044,2
658,1047,2
659,1048,4
660,1049,0
661,1050,0
662,1051,4
663,1052,0
664,1053,2
665,1055,1
666,1057,0
667,1058,2
668,1059,3
669,1061,3
670,1063,4
671,1064,4
672,1065,4
673,1066,1
674,1067,0
675,1068,3
676,1069,4
677,1070,2
678,1071,1
679,1072,1
680,1073,0
681,1074,4
682,1077,2
683,1078,0
684,1080,2
685,1081,0
686,1083,0
687,1084,2
688,1086,0
689,1087,1
690,1088,4
691,1089,1
692,1092,3
693,1093,4
694,1095,0
695,1096,1
696,1098,1
697,1102,2
698,1103,3
699,1105,2
700,1106,1
701,1107,1
702,1111,1
703,1112,0
704,1113,1
705,1115,3
706,1116,0
707,1117,3
708,1120,4
709,1122,2
710,1123,0
711,1126,0
712,1129,3
713,1130,2
714,1131,0
715,1132,0
716,1133,4
717,1135,4
718,1137,4
719,1139,4
720,1141,4
721,1142,0
722,1146,1
723,1147,3
724,1149,2
725,1155,4
726,1156,0
727,1157,2
728,1160,0
729,1161,0
730,1162,0
731,1163,2
732,1165,3
733,1166,2
734,1167,2
735,1168,1
736,1169,1
737,1170,0
738,1172,1
739,1173,1
740,1174,0
741,1176,3
742,1177,3
743,1178,0
744,1179,4
745,1180,4
746,1181,0
747,1182,0
748,1184,2
749,1185,3
750,1186,4
751,1187,0
752,1188,3
753,1191,0
754,1192,1
755,1193,0
756,1197,4
757,1198,4
758,1199,4
759,1202,3
760,1203,2
761,1204,2
762,1205,4
763,1206,1
764,1207,0
765,1208,1
766,1209,4
767,1212,4
768,1213,4
769,1215,0
770,1217,4
771,1218,2
772,1219,3
773,1222,2
774,1225,4
775,1227,4
776,1235,2
777,1237,2
778,1239,0
779,1240,4
780,1241,4
781,1242,1
782,1244,4
783,1245,2
784,1246,0
785,1250,4
786,1251,0
787,1252,2
788,1253,3
789,1254,4
790,1255,2
791,1256,0
792,1257,1
793,1259,2
794,1260,3
795,1261,0
796,1262,0
797,1264,4
798,1267,4
799,1268,3
800,1269,0
801,1270,2
802,1271,4
803,1273,4
804,1274,3
805,1275,3
806,1276,3
807,1277,2
808,1279,0
809,1280,1
810,1283,1
811,1284,4
812,1285,4
813,1289,4
814,1290,0
815,1291,3
816,1292,2
817,1294,3
818,1296,4
819,1298,4
820,1299,1
821,1303,3
822,1305,3
823,1306,1
824,1307,2
825,1309,0
826,1311,0
827,1316,3
828,1320,0
829,1321,1
830,1322,1
831,1325,1
832,1326,3
833,1327,3
834,1328,4
835,1330,4
836,1332,1
837,1333,3
838,1334,4
839,1335,0
840,1337,3
841,1339,1
842,1340,1
843,1341,2
844,1342,2
845,1343,2
846,1345,0
847,1347,4
848,1350,2
849,1355,2
850,1356,0
851,1357,2
852,1358,0
853,1360,4
854,1361,3
855,1362,3
856,1364,3
857,1365,1
858,1366,1
859,1367,1
860,1368,0
861,1369,1
862,1370,4
863,1371,1
864,1372,3
865,1373,4
866,1374,2
867,1375,2
868,1376,1
869,1378,2
870,1380,1
871,1381,1
872,1384,3
873,1386,3
874,1387,1
875,1388,0
876,1389,4
877,1392,3
878,1395,2
879,1396,2
880,1400,0
881,1401,3
882,1402,2
883,1403,1
884,1404,2
885,1405,0
886,1406,2
887,1407,3
888,1409,1
889,1410,3
890,1411,1
891,1413,4
892,1416,2
893,1417,1
894,1418,0
895,1421,0
896,1422,0
897,1425,4
898,1426,1
899,1428,0
900,1429,1
901,1431,2
902,1433,3
903,1435,0
904,1436,3
905,1437,1
906,1438,4
907,1440,2
908,1441,4
909,1442,3
910,1443,4
911,1445,4
912,1447,3
913,1448,4
914,1450,4
915,1451,1
916,1452,1
917,1453,4
918,1455,2
919,1456,4
920,1457,2
921,1458,1
922,1459,1
923,1460,4
924,1461,1
925,1462,4
926,1463,1
927,1464,4
928,1465,1
929,1467,2
930,1468,2
931,1471,2
932,1478,3
933,1480,0
934,1483,4
935,1485,4
936,1486,2
937,1487,0
938,1488,0
939,1489,0
940,1490,4
941,1491,2
942,1492,3
943,1493,2
944,1494,2
945,1495,3
946,1497,2
947,1499,1
948,1503,1
949,1504,0
950,1506,3
951,1507,1
952,1508,2
953,1509,0
954,1511,4
955,1512,1
956,1513,3
957,1515,0
958,1516,4
959,1517,0
960,1520,4
961,1521,1
962,1522,1
963,1524,4
964,1527,4
965,1530,1
966,1532,0
967,1533,0
968,1534,0
969,1535,1
970,1536,1
971,1537,3
972,1540,0
973,1541,2
974,1543,1
975,1545,2
976,1546,1
977,1547,3
978,1548,2
979,1550,1
980,1551,3
981,1552,4
982,1554,2
983,1555,0
984,1556,0
985,1560,4
986,1561,2
987,1562,1
988,1563,0
989,1564,2
990,1565,0
991,1566,2
992,1568,0
993,1569,3
994,1571,3
995,1572,1
996,1573,3
997,1574,1
998,1576,4
999,1577,4
1000,1578,4
1001,1579,0
1002,1581,0
1003,1582,0
1004,1583,0
1005,1584,2
1006,1587,1
1007,1588,4
1008,1589,3
1009,1592,3
1010,1595,4
1011,1596,4
1012,1597,2
1013,1598,2
1014,1600,0
1015,1602,2
1016,1604,4
1017,1605,0
1018,1607,0
1019,1608,3
1020,1609,3
1021,1610,0
1022,1613,3
1023,1614,4
1024,1615,2
1025,1616,4
1026,1617,0
1027,1618,1
1028,1619,1
1029,1620,0
1030,1621,4
1031,1622,1
1032,1623,1
1033,1625,2
1034,1626,3
1035,1628,3
1036,1629,1
1037,1632,4
1038,1634,4
1039,1635,1
1040,1636,1
1041,1637,1
1042,1639,0
1043,1640,2
1044,1641,1
1045,1642,0
1046,1644,1
1047,1646,1
1048,1648,3
1049,1650,0
1050,1651,3
1051,1652,3
1052,1653,3
1053,1655,4
1054,1656,3
1055,1658,1
1056,1660,4
1057,1662,3
1058,1663,4
1059,1666,0
1060,1667,2
1061,1670,0
1062,1672,1
1063,1673,3
1064,1675,1
1065,1678,1
1066,1683,3
1067,1684,2
1068,1686,3
1069,1687,4
1070,1689,4
1071,1690,0
1072,1691,2
1073,1692,4
1074,1694,4
1075,1695,1
1076,1696,4
1077,1697,0
1078,1702,1
1079,1703,3
1080,1706,1
1081,1709,4
1082,1710,3
1083,1711,3
1084,1712,4
1085,1713,0
1086,1714,1
1087,1715,3
1088,1716,0
1089,1718,4
1090,1719,4
1091,1721,0
1092,1722,2
1093,1723,1
1094,1724,1
1095,1726,0
1096,1728,0
1097,1729,3
1098,1730,4
1099,1731,0
1100,1733,0
1101,1734,4
1102,1735,4
1103,1736,3
1104,1738,4
1105,1739,4
1106,1741,1
1107,1742,4
1108,1743,0
1109,1744,2
1110,1745,3
1111,1746,4
1112,1748,0
1113,1749,1
1114,1750,3
1115,1751,3
1116,1752,2
1117,1754,1
1118,1755,4
1119,1756,3
